country,cases,date
PHL,77,6/15/09
PHL,193,6/17/09
PHL,311,6/19/09
PHL,344,6/22/09
PHL,445,6/24/09
PHL,445,6/26/09
PHL,861,6/29/09
PHL,861,7/1/09
PHL,1709,7/3/09
PHL,1709,7/6/09
Turkey,2,5/23/09
Turkey,2,5/25/09
Turkey,2,5/26/09
Turkey,2,5/27/09
Turkey,2,5/29/09
Turkey,4,6/1/09
Turkey,4,6/3/09
Turkey,8,6/5/09
Turkey,10,6/8/09
Turkey,10,6/10/09
Turkey,10,6/11/09
Turkey,10,6/12/09
Turkey,10,6/15/09
Turkey,16,6/17/09
Turkey,20,6/19/09
Turkey,20,6/22/09
Turkey,26,6/24/09
Turkey,26,6/26/09
Turkey,27,6/29/09
Turkey,32,7/1/09
Turkey,40,7/3/09
Turkey,40,7/6/09
Thailand,2,5/23/09
Thailand,2,5/25/09
Thailand,2,5/26/09
Thailand,2,5/27/09
Thailand,2,5/29/09
Thailand,2,6/1/09
Thailand,2,6/3/09
Thailand,8,6/5/09
Thailand,8,6/8/09
Thailand,8,6/10/09
Thailand,8,6/11/09
Thailand,8,6/12/09
Thailand,29,6/15/09
Thailand,310,6/17/09
Thailand,518,6/19/09
Thailand,589,6/22/09
Thailand,774,6/24/09
Thailand,774,6/26/09
Thailand,774,6/29/09
Thailand,1414,7/1/09
Thailand,1414,7/3/09
Thailand,2076,7/6/09
Czech R.,1,5/23/09
Czech R.,1,5/25/09
Czech R.,1,5/26/09
Czech R.,1,5/27/09
Czech R.,1,5/29/09
Czech R.,1,6/1/09
Czech R.,1,6/3/09
Czech R.,2,6/5/09
Czech R.,2,6/8/09
Czech R.,2,6/10/09
Czech R.,4,6/11/09
Czech R.,4,6/12/09
Czech R.,4,6/15/09
Czech R.,4,6/17/09
Czech R.,5,6/19/09
Czech R.,7,6/22/09
Czech R.,7,6/24/09
Czech R.,9,6/26/09
Czech R.,9,6/29/09
Czech R.,9,7/1/09
Czech R.,15,7/3/09
Czech R.,15,7/6/09
NZL,9,5/23/09
NZL,9,5/25/09
NZL,9,5/26/09
NZL,9,5/27/09
NZL,9,5/29/09
NZL,9,6/1/09
NZL,10,6/3/09
NZL,11,6/5/09
NZL,14,6/8/09
NZL,23,6/10/09
NZL,23,6/11/09
NZL,27,6/12/09
NZL,86,6/15/09
NZL,127,6/17/09
NZL,216,6/19/09
NZL,258,6/22/09
NZL,386,6/24/09
NZL,453,6/26/09
NZL,587,6/29/09
NZL,711,7/1/09
NZL,912,7/3/09
NZL,1059,7/6/09
CYM,1,5/23/09
CYM,1,5/25/09
CYM,1,5/26/09
CYM,1,5/27/09
CYM,1,5/29/09
CYM,1,6/1/09
CYM,1,6/3/09
CYM,1,6/5/09
CYM,1,6/8/09
CYM,1,6/10/09
CYM,2,6/11/09
CYM,2,6/12/09
CYM,2,6/15/09
CYM,4,6/17/09
CYM,4,6/19/09
CYM,4,6/22/09
CYM,7,6/24/09
CYM,9,6/26/09
CYM,9,6/29/09
CYM,13,7/1/09
CYM,14,7/3/09
CYM,14,7/6/09
Egypt,1,5/23/09
Egypt,1,5/25/09
Egypt,1,5/26/09
Egypt,1,5/27/09
Egypt,1,5/29/09
Egypt,1,6/1/09
Egypt,1,6/3/09
Egypt,1,6/5/09
Egypt,1,6/8/09
Egypt,8,6/10/09
Egypt,10,6/11/09
Egypt,10,6/12/09
Egypt,18,6/15/09
Egypt,26,6/17/09
Egypt,29,6/19/09
Egypt,39,6/22/09
Egypt,40,6/24/09
Egypt,43,6/26/09
Egypt,50,6/29/09
Egypt,67,7/1/09
Egypt,67,7/3/09
Egypt,78,7/6/09
S. Africa,0,5/23/09
S. Africa,0,5/25/09
S. Africa,0,5/26/09
S. Africa,0,5/27/09
S. Africa,0,5/29/09
S. Africa,0,6/1/09
S. Africa,0,6/3/09
S. Africa,0,6/5/09
S. Africa,0,6/8/09
S. Africa,0,6/10/09
S. Africa,0,6/11/09
S. Africa,0,6/12/09
S. Africa,0,6/15/09
S. Africa,0,6/17/09
S. Africa,1,6/19/09
S. Africa,1,6/22/09
S. Africa,1,6/24/09
S. Africa,1,6/26/09
S. Africa,1,6/29/09
S. Africa,1,7/1/09
S. Africa,12,7/3/09
S. Africa,18,7/6/09
Russia,1,5/23/09
Russia,1,5/25/09
Russia,2,5/26/09
Russia,2,5/27/09
Russia,2,5/29/09
Russia,3,6/1/09
Russia,3,6/3/09
Russia,3,6/5/09
Russia,3,6/8/09
Russia,3,6/10/09
Russia,3,6/11/09
Russia,3,6/12/09
Russia,3,6/15/09
Russia,3,6/17/09
Russia,3,6/19/09
Russia,3,6/22/09
Russia,3,6/24/09
Russia,3,6/26/09
Russia,3,6/29/09
Russia,3,7/1/09
Russia,3,7/3/09
Russia,3,7/6/09
Poland,2,5/23/09
Poland,3,5/25/09
Poland,3,5/26/09
Poland,3,5/27/09
Poland,4,5/29/09
Poland,4,6/1/09
Poland,4,6/3/09
Poland,4,6/5/09
